T_REC,NOAA_ARS,HARPNUM,MTOT,USFLUX,LON_MAX,LON_MIN,LAT_MAX,LAT_MIN,SIZE,LON,LAT,NormF,NormS
2012.03.15_18:00:00_TAI,11435,1471,1750523.125,1.367052e+21,11.715304,1.283764,-23.590609,-27.657997,2667.04541,6.499534,-25.624303,0.08145592609541243,0.5777142960506437
2012.03.15_19:00:00_TAI,11435,1471,1740049.75,1.596519e+21,12.293133,1.820158,-23.598038,-27.687538,2679.279785,7.056645499999999,-25.642788,0.095128739560691,0.5803644096610995
2012.03.15_20:00:00_TAI,11435,1471,1741580.5,1.464125e+21,12.854217,2.354033,-23.58848,-27.712675,2686.575928,7.604125,-25.6505775,0.08724003022156122,0.5819448424881243
2012.03.15_21:00:00_TAI,11435,1471,1712460.625,1.395354e+21,13.414117,2.920543,-23.578581,-27.708466,2694.842529,8.16733,-25.6435235,0.08314230351218396,0.5837354882564865
2012.03.15_22:00:00_TAI,11435,1471,1707039.875,1.319588e+21,13.996294,3.461658,-23.568594,-27.731705,2719.38501,8.728976,-25.6501495,0.07862777904892651,0.5890516865038389
2012.03.15_23:00:00_TAI,11435,1471,1708841.875,1.458398e+21,14.551254,4.031654,-23.561634,-27.757736,2730.431152,9.291454,-25.659685000000003,0.08689878637074325,0.5914444144737783
2012.03.16_00:00:00_TAI,11435,1471,1735998.0,1.556184e+21,15.124599,4.602109,-23.551067,-27.777224,2732.835938,9.863354,-25.6641455,0.09272537467109027,0.5919653202093662
2012.03.16_01:00:00_TAI,11435,1471,1743358.375,1.521353e+21,15.684792,5.172503,-23.566601,-27.837311,2750.144531,10.4286475,-25.701956,0.09064996615566488,0.5957145708157224
2012.03.16_02:00:00_TAI,11435,1471,1786908.125,1.614801e+21,16.253506,5.779649,-23.577927,-27.853903,2741.912842,11.0165775,-25.715915,0.09621807430499943,0.5939314874088514
2012.03.16_03:00:00_TAI,11435,1471,1845849.375,1.69703e+21,16.888388,6.406266,-23.579943,-27.906019,2779.378174,11.647326999999999,-25.742981,0.10111769725050529,0.6020469314959783
2012.03.16_04:00:00_TAI,11435,1471,1924684.75,1.743421e+21,17.475616,6.941594,-23.540375,-27.963106,2839.646484,12.208604999999999,-25.7517405,0.10388190948785417,0.6151017764398489
2012.03.16_05:00:00_TAI,11435,1471,1991349.875,1.911637e+21,18.141546,7.479612,-23.509155,-27.980713,2901.767822,12.810579,-25.744934,0.11390507617358807,0.6285580096625124
2012.03.16_06:00:00_TAI,11435,1471,2055947.125,1.951675e+21,18.760485,7.992004,-23.487272,-27.999374,2950.039062,13.376244499999999,-25.743323,0.1162907442893643,0.6390141441293385
2012.03.16_09:00:00_TAI,11435,1471,2189814.0,2.960541e+21,20.403666,9.627117,-23.458139,-28.055519,2976.651123,15.0153915,-25.756829,0.17640412281203524,0.6447786384380695
2012.03.16_12:00:00_TAI,11435,1471,2263828.75,2.490881e+21,22.139942,11.210502,-23.39534,-28.101238,3047.989258,16.675222,-25.748289,0.14841938613049613,0.6602313413761461
2012.03.16_13:00:00_TAI,11435,1471,2288498.25,2.58532e+21,22.681496,11.749127,-23.399805,-28.176481,3074.938965,17.2153115,-25.788142999999998,0.1540465431110094,0.6660689738926003
2012.03.16_14:00:00_TAI,11435,1471,2288235.5,2.559835e+21,23.245094,12.294554,-23.387079,-28.221899,3099.619629,17.769824,-25.804489,0.15252801691263396,0.6714151042491969
2012.03.16_15:00:00_TAI,11435,1471,2314640.0,2.682001e+21,23.808296,12.803418,-23.394772,-28.215462,3100.573486,18.305857,-25.805117,0.15980728987911377,0.6716217212131308
